collection_id	language	work_id	title	author	author_id	source_id	cts_work_urn	canonical_text_id	edition_id	edition_label	source_path	cts_edition_urn	file_role	file_status	source_hash	size_bytes	artifact_count	segment_count	token_count	adapters	artifact_paths	source_witness_count	source_witness_collections
digiliblt	lat	langnet:reader:digiliblt:dlt000156	Ars maior	Aelius Donatus		dlt000156		urn:ctsv2:lat:ars-maior-de-uoce	langnet:reader:digiliblt:dlt000156:edition	digilibLT TEI	/home/nixos/Classics-Data/digiliblt/dlt000156.xml		digiliblt_tei	text	a7485a75c5141513939f3ec7674377740d896b5203f04db76a730717c31ef497	83989	1	275	10024	digiliblt_tei	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/digiliblt/langnet/Aelius_Donatus/dlt000156/langnet_reader_digiliblt_dlt000156_edition.duckdb	0	
digiliblt	lat	langnet:reader:digiliblt:dlt000157	Ars minor	Aelius Donatus		dlt000157		urn:ctsv2:lat:ars-minor-de-partibus-orationis	langnet:reader:digiliblt:dlt000157:edition	digilibLT TEI	/home/nixos/Classics-Data/digiliblt/dlt000157.xml		digiliblt_tei	text	519de527fb6c337188ffa875894fd4bfb510d515f7b25cda29454cbd1bda4e22	37199	1	101	4223	digiliblt_tei	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/digiliblt/langnet/Aelius_Donatus/dlt000157/langnet_reader_digiliblt_dlt000157_edition.duckdb	0	
digiliblt	lat	langnet:reader:digiliblt:dlt000151	Epistula ad Munatium	Aelius Donatus		dlt000151		urn:ctsv2:lat:epistula-ad-munatium-inspectis-fere-omnibus	langnet:reader:digiliblt:dlt000151:edition	digilibLT TEI	/home/nixos/Classics-Data/digiliblt/dlt000151.xml		digiliblt_tei	text	f9e5227942ad701e30b1cde0422d0032f254d507942b250298d2be4fec6fce14	4804	1	1	150	digiliblt_tei	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/digiliblt/langnet/Aelius_Donatus/dlt000151/langnet_reader_digiliblt_dlt000151_edition.duckdb	0	
digiliblt	lat	langnet:reader:digiliblt:dlt000150	Excerpta de comoedia	Aelius Donatus		dlt000150		urn:ctsv2:lat:excerpta-de-comoedia-comoedia-est-fabula	langnet:reader:digiliblt:dlt000150:edition	digilibLT TEI	/home/nixos/Classics-Data/digiliblt/dlt000150.xml		digiliblt_tei	text	69d2adc03b96aed646774de779945a7530b107cd5e8e0149ca7b6e505bc00ccf	14612	1	29	1068	digiliblt_tei	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/digiliblt/langnet/Aelius_Donatus/dlt000150/langnet_reader_digiliblt_dlt000150_edition.duckdb	0	
digiliblt	lat	langnet:reader:digiliblt:dlt000153	Praefatio comm. in Verg. Eclogas	Aelius Donatus		dlt000153		urn:ctsv2:lat:praefatio-comm-in-verg-eclogas-quoniam-de-auctore	langnet:reader:digiliblt:dlt000153:edition	digilibLT TEI	/home/nixos/Classics-Data/digiliblt/dlt000153.xml		digiliblt_tei	text	e3293272854e7cf4bc2c0f034d358504eb7bc7c7570ab55d7466d11bc342e740	15159	1	14	1143	digiliblt_tei	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/digiliblt/langnet/Aelius_Donatus/dlt000153/langnet_reader_digiliblt_dlt000153_edition.duckdb	0	
digiliblt	lat	langnet:reader:digiliblt:dlt000154	Vita Terentii	Aelius Donatus		dlt000154		urn:ctsv2:lat:vita-terentii-publius-terentius-afer	langnet:reader:digiliblt:dlt000154:edition	digilibLT TEI	/home/nixos/Classics-Data/digiliblt/dlt000154.xml		digiliblt_tei	text	a84c8f9a7216a5fa45c940565b77b762faa4e9691b7049cf753b9d479fdc5b14	11094	1	23	648	digiliblt_tei	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/digiliblt/langnet/Aelius_Donatus/dlt000154/langnet_reader_digiliblt_dlt000154_edition.duckdb	0	
digiliblt	lat	langnet:reader:digiliblt:dlt000155	Vita Vergilii	Aelius Donatus		dlt000155		urn:ctsv2:lat:vita-vergilii-p-vergilius-maro-dlt000155	langnet:reader:digiliblt:dlt000155:edition	digilibLT TEI	/home/nixos/Classics-Data/digiliblt/dlt000155.xml		digiliblt_tei	text	5a6de48e95af76f1dfbe46a015ccf3063aa28a7253ce9d3c654e96f07185119d	17047	1	18	1316	digiliblt_tei	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/digiliblt/langnet/Aelius_Donatus/dlt000155/langnet_reader_digiliblt_dlt000155_edition.duckdb	0	
digiliblt	lat	langnet:reader:digiliblt:dlt000001	De controuersiis agrorum	Agennius Vrbicus		dlt000001		urn:ctsv2:lat:de-controuersiis-agrorum-aduersantur-ne-quid	langnet:reader:digiliblt:dlt000001:edition	digilibLT TEI	/home/nixos/Classics-Data/digiliblt/dlt000001.xml		digiliblt_tei	text	311027ef6a6a8a559840b92118e2f551723343650f69063c41d404029604688a	54827	1	81	5913	digiliblt_tei	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/digiliblt/langnet/Agennius_Vrbicus/dlt000001/langnet_reader_digiliblt_dlt000001_edition.duckdb	0	
digiliblt	lat	langnet:reader:digiliblt:dlt000003	Ars de orthographia	Agroecius		dlt000003		urn:ctsv2:lat:ars-de-orthographia-domino-eucherio-episcopo	langnet:reader:digiliblt:dlt000003:edition	digilibLT TEI	/home/nixos/Classics-Data/digiliblt/dlt000003.xml		digiliblt_tei	text	224f59cc53577966b4a2666522415fa04ffc90ca6ca1ca1e020c1373fb9818f6	29744	1	156	2479	digiliblt_tei	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/digiliblt/langnet/Agroecius/dlt000003/langnet_reader_digiliblt_dlt000003_edition.duckdb	0	
digiliblt	lat	langnet:reader:digiliblt:dlt000008	Rerum gestarum libri qui supersunt	Ammianus Marcellinus		dlt000008		urn:ctsv2:lat:rerum-gestarum-libri-qui-supersunt-post-emensos-insuperabilis	langnet:reader:digiliblt:dlt000008:edition	digilibLT TEI	/home/nixos/Classics-Data/digiliblt/dlt000008.xml		digiliblt_tei	text	7024bbe6bcfa31da6a0d31ec393e4898f403a7f6c9c9bcdd0f2211451b780d88	1246508	1	200	122516	digiliblt_tei	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/digiliblt/langnet/Ammianus_Marcellinus/dlt000008/langnet_reader_digiliblt_dlt000008_edition.duckdb	0	
