collection_id	language	work_id	title	author	author_id	source_id	cts_work_urn	canonical_text_id	edition_id	edition_label	source_path	cts_edition_urn	file_role	file_status	source_hash	size_bytes	artifact_count	segment_count	token_count	adapters	artifact_paths	source_witness_count	source_witness_collections
first1kgreek	grc	urn:cts:greekLit:tlg1419.tlg001	Ποιμὴν	2nd cent. Hermas	urn:cts:greekLit:tlg1419	tlg1419.tlg001	urn:cts:greekLit:tlg1419.tlg001	urn:ctsv2:grc:poimen-o-threpsas-me	urn:cts:greekLit:tlg1419.tlg001.1st1K-grc1	Ποιμὴν (1st1K-grc1)	/home/nixos/First1KGreek/data/tlg1419/tlg001/tlg1419.tlg001.1st1K-grc1.xml	urn:cts:greekLit:tlg1419.tlg001.1st1K-grc1	first1kgreek_tei	text	c343cabf27b086c4663001d00069485c24b9c8c5ee0c43ea73a5f2e229724814	467761	1	727	31254	first1kgreek_tei	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/first1kgreek/greekLit/urn_cts_greekLit_tlg1419/tlg1419.tlg001/urn_cts_greekLit_tlg1419.tlg001.1st1K-grc1.duckdb	0	
first1kgreek	grc	urn:cts:greekLit:tlg4102.tlg034	Catena In Epistulam I Ad Timotheum	>Catenae (Novum Testamentum)	urn:cts:greekLit:tlg4102	tlg4102.tlg034	urn:cts:greekLit:tlg4102.tlg034	urn:ctsv2:grc:catena-in-epistulam-i-ad-timotheum-ton-eis-thn	urn:cts:greekLit:tlg4102.tlg034.1st1K-grc1	Catena In Epistulam I Ad Timotheum (1st1K-grc1)	/home/nixos/First1KGreek/data/tlg4102/tlg034/tlg4102.tlg034.1st1K-grc1.xml	urn:cts:greekLit:tlg4102.tlg034.1st1K-grc1	first1kgreek_tei	text	c8cc8018e3e3d478d289b8568d1d01ca837f3f7b5973a93874100df60bda8c89	191739	1	16	14203	first1kgreek_tei	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/first1kgreek/greekLit/urn_cts_greekLit_tlg4102/tlg4102.tlg034/urn_cts_greekLit_tlg4102.tlg034.1st1K-grc1.duckdb	0	
first1kgreek	grc	urn:cts:greekLit:tlg2949.tlg001	Περίοδοι καὶ μαρτύριον τοῦ ἁγίου Βαρνάβα τοῦ ἀποστόλου	Acta Barnabae	urn:cts:greekLit:tlg2949	tlg2949.tlg001	urn:cts:greekLit:tlg2949.tlg001	urn:ctsv2:grc:periodoi-kai-marturion-tou-agiou-barnaba-tou-apostolou-epeideper-apo-tes	urn:cts:greekLit:tlg2949.tlg001.1st1K-grc1	Περίοδοι καὶ μαρτύριον τοῦ ἁγίου Βαρνάβα τοῦ ἀποστόλου (1st1K-grc1)	/home/nixos/First1KGreek/data/tlg2949/tlg001/tlg2949.tlg001.1st1K-grc1.xml	urn:cts:greekLit:tlg2949.tlg001.1st1K-grc1	first1kgreek_tei	text	b34332ecf51d988a3fbcffd268ff0e2074a52253884e49ea9dde54d4f1be8957	34056	1	26	2166	first1kgreek_tei	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/first1kgreek/greekLit/urn_cts_greekLit_tlg2949/tlg2949.tlg001/urn_cts_greekLit_tlg2949.tlg001.1st1K-grc1.duckdb	0	
first1kgreek	grc	urn:cts:greekLit:tlg0317.tlg001	Acta Joannis	Acta Joannis	urn:cts:greekLit:tlg0317	tlg0317.tlg001	urn:cts:greekLit:tlg0317.tlg001	urn:ctsv2:grc:acta-joannis-basileuontos-ton-ioudaion	urn:cts:greekLit:tlg0317.tlg001.1st1K-grc1	Acta Joannis (1st1K-grc1)	/home/nixos/First1KGreek/data/tlg0317/tlg001/tlg0317.tlg001.1st1K-grc1.xml	urn:cts:greekLit:tlg0317.tlg001.1st1K-grc1	first1kgreek_tei	text	850ce8d4cd88b43d88c532015554b893b57555e57a2bddc8d6979c8f3d4480f7	275168	1	110	28112	first1kgreek_tei	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/first1kgreek/greekLit/urn_cts_greekLit_tlg0317/tlg0317.tlg001/urn_cts_greekLit_tlg0317.tlg001.1st1K-grc1.duckdb	0	
first1kgreek	grc	urn:cts:greekLit:tlg0317.tlg002	Acta Joannis (recenscio)	Acta Joannis	urn:cts:greekLit:tlg0317	tlg0317.tlg002	urn:cts:greekLit:tlg0317.tlg002	urn:ctsv2:grc:acta-joannis-recenscio-anenegkan-pros-basilea	urn:cts:greekLit:tlg0317.tlg002.1st1K-grc1	Acta Joannis (recenscio) (1st1K-grc1)	/home/nixos/First1KGreek/data/tlg0317/tlg002/tlg0317.tlg002.1st1K-grc1.xml	urn:cts:greekLit:tlg0317.tlg002.1st1K-grc1	first1kgreek_tei	text	2cb76cbbcb6770e2a9b0a29ffa542a7171acda60d7d55f011edd8c2532f757ac	37672	1	35	2540	first1kgreek_tei	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/first1kgreek/greekLit/urn_cts_greekLit_tlg0317/tlg0317.tlg002/urn_cts_greekLit_tlg0317.tlg002.1st1K-grc1.duckdb	0	
first1kgreek	grc	urn:cts:greekLit:tlg2948.tlg001	Πράξεις τοῦ ἁγίου καὶ πανευφήμου ἀποστόλου Φιλίππου	Acta Philippi	urn:cts:greekLit:tlg2948	tlg2948.tlg001	urn:cts:greekLit:tlg2948.tlg001	urn:ctsv2:grc:praxeis-tou-agiou-kai-paneuphemou-apostolou-philippou-praxeis-tou-agiou	urn:cts:greekLit:tlg2948.tlg001.1st1K-grc1	Πράξεις τοῦ ἁγίου καὶ πανευφήμου ἀποστόλου Φιλίππου (1st1K-grc1)	/home/nixos/First1KGreek/data/tlg2948/tlg001/tlg2948.tlg001.1st1K-grc1.xml	urn:cts:greekLit:tlg2948.tlg001.1st1K-grc1	first1kgreek_tei	text	d386b19036c979268c43e64f2f498b41c9a5321c89d11a1848e31e87754289ab	223654	1	148	16468	first1kgreek_tei	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/first1kgreek/greekLit/urn_cts_greekLit_tlg2948/tlg2948.tlg001/urn_cts_greekLit_tlg2948.tlg001.1st1K-grc1.duckdb	0	
first1kgreek	grc	urn:cts:greekLit:tlg2038.tlg001	Πράξεις τοῦ ἁγίου ἀποστόλου Θωμᾶ	Acta Thomae	urn:cts:greekLit:tlg2038	tlg2038.tlg001	urn:cts:greekLit:tlg2038.tlg001	urn:ctsv2:grc:praxeis-tou-agiou-apostolou-thoma-kat-ekeinon-ton	urn:cts:greekLit:tlg2038.tlg001.1st1K-grc1	Πράξεις τοῦ ἁγίου ἀποστόλου Θωμᾶ (1st1K-grc1)	/home/nixos/First1KGreek/data/tlg2038/tlg001/tlg2038.tlg001.1st1K-grc1.xml	urn:cts:greekLit:tlg2038.tlg001.1st1K-grc1	first1kgreek_tei	text	a438ef18808cd8d1e2c425db55c5741682407e25fb0f0ca5df111804dd561883	389807	1	170	29241	first1kgreek_tei	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/first1kgreek/greekLit/urn_cts_greekLit_tlg2038/tlg2038.tlg001/urn_cts_greekLit_tlg2038.tlg001.1st1K-grc1.duckdb	0	
first1kgreek	grc	urn:cts:greekLit:tlg0731.tlg003	Physiognomonica (epitome Matritensis)	Adamantius	urn:cts:greekLit:tlg0731	tlg0731.tlg003	urn:cts:greekLit:tlg0731.tlg003	urn:ctsv2:grc:physiognomonica-epitome-matritensis-tas-koras-nmegaloi	urn:cts:greekLit:tlg0731.tlg003.1st1K-grc1	Physiognomonica (epitome Matritensis) (1st1K-grc1)	/home/nixos/First1KGreek/data/tlg0731/tlg003/tlg0731.tlg003.1st1K-grc1.xml	urn:cts:greekLit:tlg0731.tlg003.1st1K-grc1	first1kgreek_tei	text	ac859a5a2cfb51c9f7cfa4f9a1cb9f79e8dba5a3f2ad30d9f90a770884799a5e	77601	1	44	5837	first1kgreek_tei	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/first1kgreek/greekLit/urn_cts_greekLit_tlg0731/tlg0731.tlg003/urn_cts_greekLit_tlg0731.tlg003.1st1K-grc1.duckdb	0	
first1kgreek	grc	urn:cts:greekLit:tlg0731.tlg001	Physiognomonica	Adamantius Judaeus	urn:cts:greekLit:tlg0731	tlg0731.tlg001	urn:cts:greekLit:tlg0731.tlg001	urn:ctsv2:grc:physiognomonica-ten-phusiognomoniken-methodon	urn:cts:greekLit:tlg0731.tlg001.1st1K-grc1	Physiognomonica (1st1K-grc1)	/home/nixos/First1KGreek/data/tlg0731/tlg001/tlg0731.tlg001.1st1K-grc1.xml	urn:cts:greekLit:tlg0731.tlg001.1st1K-grc1	first1kgreek_tei	text	a278d9c4c63d777731d6f2bb26db5e3e5b005e32af2fbd92704655854131d9bf	168741	1	84	14019	first1kgreek_tei	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/first1kgreek/greekLit/urn_cts_greekLit_tlg0731/tlg0731.tlg001/urn_cts_greekLit_tlg0731.tlg001.1st1K-grc1.duckdb	0	
first1kgreek	grc	urn:cts:greekLit:tlg0666.tlg001	Declamatio	Adrianus	urn:cts:greekLit:tlg0666	tlg0666.tlg001	urn:cts:greekLit:tlg0666.tlg001	urn:ctsv2:grc:declamatio-pros-men-to	urn:cts:greekLit:tlg0666.tlg001.1st1K-grc1	Declamatio (1st1K-grc1)	/home/nixos/First1KGreek/data/tlg0666/tlg001/tlg0666.tlg001.1st1K-grc1.xml	urn:cts:greekLit:tlg0666.tlg001.1st1K-grc1	first1kgreek_tei	text	39329f50ffb48bb8b75adeb8b41f5322b4818711fc4cdb2b28ed09a72205d1fe	7124	1	1	260	first1kgreek_tei	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/first1kgreek/greekLit/urn_cts_greekLit_tlg0666/tlg0666.tlg001/urn_cts_greekLit_tlg0666.tlg001.1st1K-grc1.duckdb	0	
