collection_id	language	work_id	title	author	author_id	source_id	cts_work_urn	canonical_text_id	edition_id	edition_label	source_path	cts_edition_urn	file_role	file_status	source_hash	size_bytes	artifact_count	segment_count	token_count	adapters	artifact_paths	source_witness_count	source_witness_collections
tlg	grc	langnet:reader:tlg:tlg1387.003	Fragmenta	(H)agias-Dercylus	tlg1387	tlg1387.003	urn:cts:greekLit:tlg1387.tlg003	urn:ctsv2:grc:fragmenta-argolika-tlg1387-003	langnet:reader:tlg:tlg1387.003:edition	legacy text dump + IDT (Fragment, line)	/home/nixos/Classics-Data/tlg_e/tlg1387.txt		diogenes_text	text	070cb49619f669a85c761076d829afdcd79d5899dbb23359447851cec7765451	8192	1	22	133	tlg_idt_legacy	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/tlg/langnet/tlg1387/tlg1387.duckdb	0	
tlg	grc	langnet:reader:tlg:tlg1416.002	De adfinium vocabulorum differentia (lexeis additae e similibus epitomis operis ejusdem cum titulis aliis e codic	(H)eren(n)ius Philo	tlg1416	tlg1416.002	urn:cts:greekLit:tlg1416.tlg002	urn:ctsv2:grc:de-adfinium-vocabulorum-differentia-lexeis-additae-e-similibus-epitomis-operis-ejusdem-cum-titulis-aliis-e-codic-athlon-epathlou-diapherei	langnet:reader:tlg:tlg1416.002:edition	legacy text dump + IDT (Lexical entry, line)	/home/nixos/Classics-Data/tlg_e/tlg1416.txt		diogenes_text	text	938c080d7e0ddc87cbebe5f103527c4fcc11453c3ad1965e20a5b4c44b9ac5ae	188416	1	83	659	tlg_idt_legacy	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/tlg/langnet/tlg1416/tlg1416.duckdb	0	
tlg	grc	langnet:reader:tlg:tlg1416.004	De aetatum cognitione (= Γνῶσις περὶ ἡλικιῶν (epitome opusculi sub nomine Herennii Philonis) (e codd. Amb	(H)eren(n)ius Philo	tlg1416	tlg1416.004	urn:cts:greekLit:tlg1416.tlg004	urn:ctsv2:grc:de-aetatum-cognitione-gnosis-peri-elikion-epitome-opusculi-sub-nomine-herennii-philonis-e-codd-amb-erenniou-philonos	langnet:reader:tlg:tlg1416.004:edition	legacy text dump + IDT (Line)	/home/nixos/Classics-Data/tlg_e/tlg1416.txt		diogenes_text	text	938c080d7e0ddc87cbebe5f103527c4fcc11453c3ad1965e20a5b4c44b9ac5ae	188416	1	13	109	tlg_idt_legacy	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/tlg/langnet/tlg1416/tlg1416.duckdb	0	
tlg	grc	langnet:reader:tlg:tlg1416.001	De diversis verborum significationibus (= Περὶ διαφόρους σημασίας) (epitome operis Herennii Philonis) (e c	(H)eren(n)ius Philo	tlg1416	tlg1416.001	urn:cts:greekLit:tlg1416.tlg001	urn:ctsv2:grc:de-diversis-verborum-significationibus-peri-diaphorous-semasias-epitome-operis-herennii-philonis-e-c-eren-n-iou	langnet:reader:tlg:tlg1416.001:edition	legacy text dump + IDT (Alphabetic letter, entry, line)	/home/nixos/Classics-Data/tlg_e/tlg1416.txt		diogenes_text	text	938c080d7e0ddc87cbebe5f103527c4fcc11453c3ad1965e20a5b4c44b9ac5ae	188416	1	1124	8789	tlg_idt_legacy	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/tlg/langnet/tlg1416/tlg1416.duckdb	0	
tlg	grc	langnet:reader:tlg:tlg1416.003	De propria dictione (= Περὶ κυριολεξίας (epitome operis sub nomine Herennii Philonis) (e cod. Venet. Marcia	(H)eren(n)ius Philo	tlg1416	tlg1416.003	urn:cts:greekLit:tlg1416.tlg003	urn:ctsv2:grc:de-propria-dictione-peri-kuriolexias-epitome-operis-sub-nomine-herennii-philonis-e-cod-venet-marcia-ek-ton-tou	langnet:reader:tlg:tlg1416.003:edition	legacy text dump + IDT (Entry, line)	/home/nixos/Classics-Data/tlg_e/tlg1416.txt		diogenes_text	text	938c080d7e0ddc87cbebe5f103527c4fcc11453c3ad1965e20a5b4c44b9ac5ae	188416	1	45	246	tlg_idt_legacy	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/tlg/langnet/tlg1416/tlg1416.duckdb	0	
tlg	grc	langnet:reader:tlg:tlg1416.008	Fragmenta	(H)eren(n)ius Philo	tlg1416	tlg1416.008	urn:cts:greekLit:tlg1416.tlg008	urn:ctsv2:grc:fragmenta-phoinikike-istoria	langnet:reader:tlg:tlg1416.008:edition	legacy text dump + IDT (Fragment, line)	/home/nixos/Classics-Data/tlg_e/tlg1416.txt		diogenes_text	text	938c080d7e0ddc87cbebe5f103527c4fcc11453c3ad1965e20a5b4c44b9ac5ae	188416	1	680	4969	tlg_idt_legacy	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/tlg/langnet/tlg1416/tlg1416.duckdb	0	
tlg	grc	langnet:reader:tlg:tlg1416.006	Fragmenta	(H)eren(n)ius Philo	tlg1416	tlg1416.006	urn:cts:greekLit:tlg1416.tlg006	urn:ctsv2:grc:fragmenta-euseb-p-e-tlg1416-006	langnet:reader:tlg:tlg1416.006:edition	legacy text dump + IDT (Volume-Jacoby#-F, fragment, line)	/home/nixos/Classics-Data/tlg_e/tlg1416.txt		diogenes_text	text	938c080d7e0ddc87cbebe5f103527c4fcc11453c3ad1965e20a5b4c44b9ac5ae	188416	1	610	6108	tlg_idt_legacy	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/tlg/langnet/tlg1416/tlg1416.duckdb	0	
tlg	grc	langnet:reader:tlg:tlg1416.005	Testimonia	(H)eren(n)ius Philo	tlg1416	tlg1416.005	urn:cts:greekLit:tlg1416.tlg005	urn:ctsv2:grc:testimonia-suda-s-v-tlg1416-005	langnet:reader:tlg:tlg1416.005:edition	legacy text dump + IDT (Volume-Jacoby#-T, fragment, line)	/home/nixos/Classics-Data/tlg_e/tlg1416.txt		diogenes_text	text	938c080d7e0ddc87cbebe5f103527c4fcc11453c3ad1965e20a5b4c44b9ac5ae	188416	1	23	218	tlg_idt_legacy	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/tlg/langnet/tlg1416/tlg1416.duckdb	0	
tlg	grc	langnet:reader:tlg:tlg1419.003	Fragmenta (P. Oxy. 3.404)	2nd cent. Hermas	urn:cts:greekLit:tlg1419	tlg1419.003	urn:cts:greekLit:tlg1419.tlg003	urn:ctsv2:grc:fragmenta-p-oxy-3-404-en-k-o	langnet:reader:tlg:tlg1419.003:edition	legacy text dump + IDT (Chapter, section, line)	/home/nixos/Classics-Data/tlg_e/tlg1419.txt		diogenes_text	text	9096651ec34bedcca9796656692d1ebab34e9d88317f8b7c2583d85b4c9e1f4a	221184	1	24	111	tlg_idt_legacy	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/tlg/langnet/urn_cts_greekLit_tlg1419/tlg1419.duckdb	0	
tlg	grc	langnet:reader:tlg:tlg1419.002	Fragmenta (ap. Antiochum)	2nd cent. Hermas	urn:cts:greekLit:tlg1419	tlg1419.002	urn:cts:greekLit:tlg1419.tlg002	urn:ctsv2:grc:fragmenta-ap-antiochum-kalon-esti-kratein	langnet:reader:tlg:tlg1419.002:edition	legacy text dump + IDT (Chapter, section, line)	/home/nixos/Classics-Data/tlg_e/tlg1419.txt		diogenes_text	text	9096651ec34bedcca9796656692d1ebab34e9d88317f8b7c2583d85b4c9e1f4a	221184	1	26	253	tlg_idt_legacy	/home/nixos/langnet-tools/langnet-cli/data/build/reader/books/tlg/langnet/urn_cts_greekLit_tlg1419/tlg1419.duckdb	0	
